Date,Toyota,Ford,GM
4/30/01,0.01609668,-0.0034218,0.00996037
5/7/01,-0.0094394,-0.019223,-0.0101703
5/14/01,-0.0021407,-0.0109082,0.01769517
5/21/01,0.01992285,-0.0401735,-0.0042548
5/29/01,-0.0073644,-0.0025584,0.01736212
6/4/01,-0.0116875,-0.0106063,0.00408888
6/11/01,0.0016033,0.00153113,0.00183716
6/18/01,0.005302,0.01942855,0.02493614
6/25/01,0.00815692,-0.0112096,0.01017467
7/2/01,-0.0115959,-0.0047394,-0.017247
7/9/01,0.00258174,0.02299061,0.02953087
7/16/01,-0.0035788,0.00266251,-0.0078568
7/23/01,-0.0056263,-0.0084532,-0.0143285
7/30/01,-0.010094,-0.0002082,0.00263237
8/6/01,-0.0032552,-0.0031357,0.00126511
8/13/01,-0.0135574,-0.0575725,-0.0247864
8/20/01,0.00477918,-0.0269282,-0.0184419
8/27/01,-0.0215228,-0.0111,-0.0174921
9/4/01,-0.0006714,-0.0250236,-0.0274134
9/10/01,-0.1132272,-0.087458,-0.1061545
9/24/01,0.04427242,0.05347998,0.02761392
10/1/01,0.03342051,0.00801249,-0.0054646
10/8/01,-0.0243282,0.00146771,0.01825422
10/15/01,-0.0235954,-0.0309691,-0.0285692
10/22/01,0.00135505,0.00376015,0.04049275
10/29/01,0.003414,-0.0056525,-0.0312521
11/5/01,0.0101713,0.00471551,0.01258913
11/12/01,-0.0151213,0.01505664,0.04145205
11/19/01,0.02998736,0.02064246,0.00366495
11/26/01,-0.014866,0.02517543,0.01787472
12/3/01,-0.011426,-0.0437089,0.01618952
12/10/01,-0.0243645,-0.0269681,-0.0360702
12/17/01,0.00855364,-0.0179554,-0.0015403
12/24/01,0.0117533,0.01410064,0.01458872
12/31/01,0.02593442,0.02598717,0.01020849
1/7/02,0.00119312,-0.0384245,-0.0028117
1/14/02,-0.0018764,-0.0291813,0
1/22/02,0.01155488,0.00318425,-0.0113166
1/28/02,-0.017493,0.011823,0.02289555
2/4/02,-0.0131961,-0.015718,-0.0107898
2/11/02,0.01870666,0.00740593,0.00847648
2/19/02,-0.0056839,-0.001401,0.02343459
2/25/02,0.00388343,0.03047743,0.01491507
3/4/02,0.04049357,0.03153013,0.04308996
3/11/02,0.01272551,0.00303068,0.00036611
3/18/02,-0.0208626,-0.0066956,-0.0060806
3/25/02,0.01110103,-0.0046251,0.0038793
4/1/02,-0.0124588,-0.0399073,-0.0031377
4/8/02,-0.0123327,0.00841356,0.01151606
4/15/02,0.01520307,0.02807039,0.02548452
4/22/02,-0.0066465,-0.001565,-0.0055641
4/29/02,-0.01586,-0.0031471,0.00776995
5/6/02,0.0058195,-0.0070049,0.00337187
5/13/02,0.01843179,0.02373443,0.00184343
5/20/02,-0.002381,0.02566697,-0.0065714
5/28/02,-0.0110423,-0.00201,-0.0194441
6/3/02,-0.0206468,-0.0279328,-0.02739
6/10/02,-0.0188968,-0.0178567,-0.0221122
6/17/02,-0.0093089,-0.0100288,-0.0032958
6/24/02,0.02982922,0.01321518,-0.0127159
7/1/02,-0.0067041,-0.0086573,-0.0144848
7/8/02,-0.0138162,-0.09481,-0.0450584
7/15/02,-0.0068494,-0.0077228,-0.0392549
7/22/02,-0.0201731,0.00731974,0.00489714
7/29/02,0.00539033,-0.0020209,0.00230057
8/5/02,0.02925464,-0.0215946,0.012068
8/12/02,-0.0153812,-0.0169312,0.0146282
8/19/02,0.00290317,0.01479704,0.02254003
8/26/02,0.00045187,-0.0004281,-0.0005694
9/3/02,-0.0069197,-0.0625434,-0.0191032
9/9/02,-0.0020238,0.01887482,-0.0166286
9/16/02,0.02516666,-0.0375733,-0.0115351
9/23/02,0.00130328,-0.0062415,-0.0329869
9/30/02,-0.0168946,-0.0458157,-0.0383872
10/7/02,-0.0191781,-0.0172197,-0.0194481
10/14/02,0.01962883,-0.0036496,-0.0064692
10/21/02,0.00829973,0.02377034,0.01530574
10/28/02,0.00150016,-0.0093526,-0.0189774
11/4/02,0.00707748,0.01566763,0.00510003
11/11/02,0.01078516,-0.0045836,0.01433754
11/18/02,-0.0144406,0.07201866,0.03005519
11/25/02,0.01164167,0.04712167,0.02393259
12/2/02,-0.0143596,-0.0615085,-0.0276679
12/9/02,-0.0002639,-0.0076328,-0.0085973
12/16/02,-0.0012338,0.00357867,0.00628259
12/23/02,0.01072171,-0.0092626,-0.0061354
12/30/02,0.01464576,0.00465597,0.02320226
1/6/03,-0.0078965,0.03507865,0.00636847
